City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Iqaluit,63.7506,-68.5145,12.2,79,75,12.66,CA,2021-03-28 23:58:35
68,Saldanha,-33.0117,17.9442,62.6,59,100,3.44,ZA,2021-03-28 23:57:01
69,Yellowknife,62.456,-114.3525,24.8,46,75,20.71,CA,2021-03-28 23:58:04
70,Hambantota,6.1241,81.1185,76.41,79,87,4.21,LK,2021-03-28 23:58:28
71,Paita,-5.0892,-81.1144,72.32,76,73,13.27,PE,2021-03-28 23:59:58
72,Huilong,31.8111,121.655,64.0,90,0,4.0,CN,2021-03-29 00:02:57
73,Oussouye,12.485,-16.5469,73.4,88,0,11.5,SN,2021-03-29 00:02:57
74,Labuhan,-6.8844,112.2051,78.71,84,90,5.28,ID,2021-03-28 23:58:18
75,Eureka,40.8021,-124.1637,52.0,79,3,7.0,US,2021-03-28 23:58:21
76,Pisco,-13.7,-76.2167,70.0,73,0,20.71,PE,2021-03-28 23:58:24
77,Atuona,-9.8,-139.0333,80.96,75,91,16.53,PF,2021-03-28 23:58:02
78,Ribeira Grande,38.5167,-28.7,60.37,84,100,22.84,PT,2021-03-28 23:57:42
79,Tadine,-21.55,167.8833,82.51,70,8,12.28,NC,2021-03-29 00:02:58
80,Mont-Joli,48.5839,-68.1921,30.2,86,90,18.41,CA,2021-03-29 00:02:59
81,Chokurdakh,70.6333,147.9167,-2.9,96,98,5.21,RU,2021-03-28 23:58:29
82,Kruisfontein,-34.0033,24.7314,62.01,77,93,4.0,ZA,2021-03-28 23:58:23
83,Leua,48.2156,18.6071,42.01,77,86,1.54,SK,2021-03-29 00:02:59
84,San Vicente,-26.6167,-54.1333,65.34,95,87,1.79,AR,2021-03-29 00:02:59
85,Qandala,11.472,49.8728,79.74,56,4,1.63,SO,2021-03-29 00:03:00
86,Khatanga,71.9667,102.5,-2.67,97,100,7.72,RU,2021-03-28 23:58:09
87,High Level,58.5169,-117.136,21.2,93,90,20.71,CA,2021-03-29 00:03:00
88,Carnarvon,-24.8667,113.6333,71.6,100,40,4.61,AU,2021-03-28 23:58:40
89,Krasnyy Luch,48.1395,38.9371,32.5,83,41,1.41,UA,2021-03-29 00:03:01
90,Butaritari,3.0707,172.7902,81.01,79,81,14.14,KI,2021-03-28 23:58:37
91,Kamenka,51.3223,42.7678,28.0,82,83,7.34,RU,2021-03-29 00:03:01
92,Bandarbeyla,9.4942,50.8122,76.12,72,24,3.87,SO,2021-03-28 23:58:12
93,Fare,-16.7,-151.0167,82.4,72,17,21.25,PF,2021-03-29 00:03:02
94,Chiang Klang,19.2938,100.8617,80.01,88,35,2.3,TH,2021-03-29 00:03:02
95,Lebu,-37.6167,-73.65,55.99,93,2,11.83,CL,2021-03-28 23:59:05
96,Hasaki,35.7333,140.8333,63.0,94,75,3.44,JP,2021-03-28 23:59:42
97,Cape Town,-33.9258,18.4232,66.99,77,0,1.14,ZA,2021-03-28 23:56:55
98,Geraldton,-28.7667,114.6,69.8,73,12,5.75,AU,2021-03-28 23:57:46
99,Husavik,66.0449,-17.3389,30.2,69,75,20.71,IS,2021-03-28 23:59:39
100,Aktas,49.7789,72.9608,23.0,74,75,20.13,KZ,2021-03-29 00:03:03
101,Ahipara,-35.1667,173.1667,71.44,81,46,7.47,NZ,2021-03-28 23:59:02
102,Elizabeth City,36.2946,-76.2511,71.6,73,1,18.41,US,2021-03-29 00:03:03
103,Bilibino,68.0546,166.4372,-5.53,85,67,2.66,RU,2021-03-28 23:58:42
104,Avarua,-21.2078,-159.775,82.4,83,75,16.11,CK,2021-03-28 23:57:58
105,Auray,47.6703,-2.9918,46.99,93,13,2.3,FR,2021-03-29 00:03:04
106,Santa Maria,-29.6842,-53.8069,73.4,73,75,3.44,BR,2021-03-29 00:03:04
107,Buin,-33.7333,-70.75,73.99,49,0,11.5,CL,2021-03-29 00:03:05
108,East London,-33.0153,27.9116,65.16,78,100,13.49,ZA,2021-03-28 23:57:35
109,Hualmay,-11.0964,-77.6139,69.85,84,80,8.48,PE,2021-03-28 23:58:48
110,Kavieng,-2.5744,150.7967,85.68,67,93,13.96,PG,2021-03-28 23:58:44
111,Bengkulu,-3.8004,102.2655,76.44,90,98,3.47,ID,2021-03-28 23:58:09
112,Yenagoa,4.9247,6.2642,77.7,86,0,3.76,NG,2021-03-29 00:03:05
113,Galle,6.0367,80.217,75.0,85,72,7.54,LK,2021-03-29 00:03:05
114,Pulivendla,14.4167,78.2333,77.36,62,68,5.95,IN,2021-03-29 00:03:06
115,Ukiah,39.1502,-123.2078,78.8,21,1,3.44,US,2021-03-29 00:00:02
116,Altamira,-3.2033,-52.2064,72.75,97,91,2.01,BR,2021-03-29 00:03:06
117,Norman Wells,65.282,-126.8329,-0.4,55,75,19.57,CA,2021-03-28 23:58:11
118,Waipawa,-41.4122,175.5153,66.2,88,75,20.71,NZ,2021-03-29 00:03:07
119,Soe,-9.8607,124.284,69.91,87,100,3.69,ID,2021-03-28 23:58:26
120,Boende,-0.2167,20.8667,74.05,81,95,1.99,CD,2021-03-28 23:59:56
121,Barrow,71.2906,-156.7887,-14.8,64,1,13.8,US,2021-03-28 23:55:01
122,Robore,-18.3333,-59.75,73.4,83,90,3.06,BO,2021-03-29 00:03:07
123,Bilma,18.6853,12.9164,69.55,15,0,4.92,NE,2021-03-28 23:57:01
124,Hanumangarh,29.5833,74.3167,77.45,16,17,9.57,IN,2021-03-29 00:03:08
125,Bredasdorp,-34.5322,20.0403,60.8,88,100,13.8,ZA,2021-03-28 23:58:00
126,Hermanus,-34.4187,19.2345,64.99,79,100,7.0,ZA,2021-03-28 23:56:54
127,Manta,-0.95,-80.7333,82.4,74,20,4.61,EC,2021-03-29 00:01:15
